Entity,Apr_Temp,April Per POP,DEPENDENT GROWTH RATE,Gov_Health_Spending_US_Thousands,Prepaid_Private_Health_Spending_US_Thousands,Out_Pocket_Health_Spending_US_Thousands,2019_Life_Expectancy,Child_Mortality_Rate_Percent,Maternal_Mortality_Per_100000,DALY_Per_100000,Deaths_HIV_AIDS,New_Cases_HIV_AIDS,People_Living_With_HIV_AIDS_x10,Region,Population,Area (sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Apr_precip
Libya,22.1,1.69E-06,5.3,2129180,130776,820376,72.913,1.29,9,31617.5806,103.283567,188.876476,132.962685,NORTHERN AFRICA,5900754,1759540,0.1,0,24.6,6400,82.6,127.1,1.03,0.19,98.78,,26.49,3.48,76,499,425,2.84
Liechtenstein,,0.002000765,0.205882353,,,,82.494,,,,,,,WESTERN EUROPE,33987,160,0,4.85,4.7,25000,100,585.5,25,0,75,4,10.21,7.18,0.06,0.39,0.55,
Lithuania,5.95,0.000162023,1.407917384,2136716,64309,1047346,75.933,0.53,10,27524.587,66.9980725,135.155028,172.237139,BALTICS,3585906,65200,0.14,-0.71,6.89,11400,99.6,223.4,45.22,0.91,53.87,,8.75,10.98,55,325,0.62,40.54
Luxembourg,8.11,0.004888146,0.639499784,3083142,115333,388044,82.25,0.24,10,19136.0428,2.40742047,95.5890339,81.6344311,WESTERN EUROPE,474413,2586,0,8.97,4.81,55100,100,515.4,23.28,0.4,76.32,,11.94,8.41,0.01,0.13,0.86,57.73
Madagascar,23.1,3.07E-06,1.315789474,288161,40182,160010,67.041,4.64,353,51989.7575,2534.94687,8799.27587,3727.22969,SUB-SAHARAN AFRICA,18595469,587040,0.82,0,76.83,800,68.9,3.6,5.07,1.03,93.91,2,41.41,11.11,276,165,559,90.11
Malaysia,25.61,0.000119249,1.087689133,6375986,1435193,4676933,76.156,0.83,40,25491.7709,1579.19957,4372.84057,5114.60103,ASIA (EX. NEAR EAST),24385858,329750,1.42,0,17.7,9000,88.7,179,5.48,17.61,76.91,2,22.86,5.05,84,0.48,436,227.43
Maldives,,5.29E-05,24.84210526,327437,39831,93378,78.921,0.85,68,18422.911,0.75516858,1.2140631,1.47925259,ASIA (EX. NEAR EAST),359008,300,214.67,0,56.52,3900,97.2,90,13.33,16.67,70,2,34.81,7.06,0.2,0.18,0.62,
Mali,30.53,2.65E-06,15.38709677,186451,14436,234370,59.306,11.06,587,59694.0234,5806.51996,7777.57786,12577.6998,SUB-SAHARAN AFRICA,11716829,1240000,0,-0.33,116.79,900,46.4,6.4,3.82,0.03,96.15,2,49.82,16.89,0.45,0.17,0.38,5.18
Malta,,0.000469749,1.484042553,776248,27014,432674,82.53,0.68,9,19286.0398,1.62588694,98.4463126,37.3995004,WESTERN EUROPE,400214,316,62.28,2.07,3.89,17700,92.8,505,28.13,3.13,68.74,,10.22,8.1,0.03,0.23,0.74,
Mauritania,27.95,1.89E-06,0.333333333,83510,11935,111946,64.925,8.14,602,36334.2676,19.6016979,69.3262464,99.5302459,SUB-SAHARAN AFRICA,3177388,1030700,0.07,0,70.89,1800,41.7,12.9,0.48,0.01,99.51,1,40.99,12.16,0.25,0.29,0.46,0.55
Mauritius,24.62,0.000129752,1.062111801,338504,55422,375809,74.991,1.37,53,27765.5525,95.8059565,298.304047,430.12127,SUB-SAHARAN AFRICA,1240827,2040,8.68,-0.9,15.03,11400,85.6,289.3,49.26,2.96,47.78,2,15.43,6.86,59,298,643,223.85
Mexico,21.28,1.28E-05,14.05007257,35766192,4961518,28158479,75.054,1.46,38,26181.8884,5575.20666,19836.3804,24253.689,LATIN AMER. & CARIB,107449525,1972550,0.47,-4.87,20.91,9000,92.2,181.6,12.99,1.31,85.7,1.5,20.69,4.74,38,259,702,17.08
Moldova,10.25,9.47E-05,8.408983452,,,,71.901,1.59,23,31126.0275,173.392024,774.541865,916.581418,C.W. OF IND. STATES,4466706,33843,0,-0.26,40.42,1800,99.1,208.1,55.3,10.79,33.91,,15.7,12.64,213,233,555,42.69
Monaco,,0.001690072,0.727272727,,,,86.751,0.34,,,,,,WESTERN EUROPE,32543,2,205,7.75,5.43,27000,99,1035.6,0,0,100,,9.19,12.91,0.17,,,
Morocco,15.1,1.97E-05,5.986238532,2507213,195117,3212514,76.68,2.71,121,31139.9143,602.47158,1108.77006,1502.41208,NORTHERN AFRICA,33241259,446550,0.41,-0.98,41.62,4000,51.7,40.4,19.61,2.17,78.22,,21.98,5.58,217,357,426,38.82
Netherlands,7.56,3.34E-06,0.818181818,56331871,21547946,9789846,82.283,0.38,7,18716.1451,55.5421015,530.786715,2206.48299,WESTERN EUROPE,16491461,41526,1.09,2.91,5.04,28600,99,460.8,26.71,0.97,72.32,3,10.9,8.68,21,244,736,46.74
New Zealand,10.72,0.000173694,1.097457627,13568092,2056525,2469344,82.288,0.54,11,20481.108,9.97943826,185.659195,437.63247,OCEANIA,4076140,268680,5.63,4.05,5.85,21600,99,441.7,5.6,6.99,87.41,3,13.76,7.53,43,273,684,141.77
Niger,30.29,5.91E-06,8.837837838,159740,14355,309859,62.42,9.13,553,54661.1643,1950.5203,1945.96735,4214.63921,SUB-SAHARAN AFRICA,12525094,1267000,0,-0.67,121.69,800,17.6,1.9,3.54,0.01,96.45,1,50.73,20.91,0.39,0.17,0.44,1.21
Nigeria,29.89,1.32E-06,11.47126437,2300101,204801,12174447,54.687,10.43,814,53711.8181,169102.548,216613.597,352835.989,SUB-SAHARAN AFRICA,131859731,923768,0.09,0.26,98.8,900,68,9.3,31.29,2.96,65.75,1.5,40.43,16.94,269,487,244,68.79
Norway,-1.14,0.001054693,0.600452396,36455624,152052,6052118,82.404,0.26,5,18648.4161,14.7837207,292.013943,587.511816,WESTERN EUROPE,4610820,323802,7.77,1.74,3.7,37800,100,461.7,2.87,0,97.13,3,11.46,9.4,21,415,564,53.41
Oman,26.72,6.77E-05,10.65238095,2651504,153751,189700,77.861,1.07,17,25096.333,134.739982,595.085627,382.770683,NEAR EAST,3102229,212460,0.98,0.28,19.51,13100,75.8,85.5,0,0.14,99.74,1,36.24,3.81,27,0.39,583,14.55
Pakistan,21.59,1.28E-05,7.552407932,2236742,378439,4757700,67.273,7.88,178,45532.534,5306.43865,14910.7797,9409.10129,ASIA (EX. NEAR EAST),165803560,803940,0.13,-2.77,72.44,2100,45.7,31.8,27.87,0.87,71.26,1,29.74,8.23,216,251,533,24.87
Panama,25.7,0.000370066,4.690093141,2867952,296628,1445376,78.506,1.64,94,22661.6323,526.154845,1870.91227,2093.54187,LATIN AMER. & CARIB,3191319,78200,3.18,-0.91,20.47,6300,92.6,137.9,7.36,1.98,90.66,2,21.74,5.36,68,156,776,115.2
Paraguay,23.1,1.06E-05,3.826086957,1212196,256021,1145740,74.254,1.99,132,25958.1432,761.575607,1639.66441,1689.4077,LATIN AMER. & CARIB,6506464,406750,0,-0.08,25.63,4700,94,49.2,7.6,0.23,92.17,2,29.1,4.49,224,207,569,111.34
Peru,19.78,4.67E-05,29.58125472,6836863,920792,3192741,76.736,1.53,68,21463.4874,2395.68637,6784.55593,7817.74229,LATIN AMER. & CARIB,28302603,1285220,0.19,-1.05,31.94,5100,90.9,79.5,2.89,0.4,96.71,1.5,20.48,6.23,0.08,0.27,0.65,142.64
Philippines,26.15,2.58E-05,2.795759412,4504337,1955690,7709339,71.231,2.71,114,36379.3637,4184.93141,14259.4456,11485.7024,ASIA (EX. NEAR EAST),89468677,300000,12.1,-1.5,23.51,4600,92.6,38.4,18.95,16.77,64.28,2,24.89,5.41,144,326,0.53,88.1
Poland,7.41,6.63E-05,4.131166797,23423071,2728249,7784905,78.73,0.47,3,23039.6999,143.553966,683.245591,1298.91072,EASTERN EUROPE,38536869,312685,0.16,-0.49,8.51,11100,99.8,306.3,45.91,1.12,52.97,3,9.85,9.89,0.05,311,0.64,38.81
Portugal,12.96,0.000777965,2.072476064,13421642,1236285,5570308,82.049,0.35,10,18936.2649,502.470022,7632.86354,17509.3464,WESTERN EUROPE,10605870,92391,1.94,3.57,5.05,18000,93.3,399.2,21.75,7.81,70.44,3,10.72,10.5,53,274,673,71.18
Qatar,26.09,0.00094312,15.88143713,4286754,496364,423687,80.227,0.85,13,21363.2357,6.96150078,10.5016446,18.2772032,NEAR EAST,885359,11437,4.92,16.29,18.61,21500,82.5,232,1.64,0.27,98.09,1,15.56,4.72,2,801,197,10.95
Romania,9.39,0.000110296,4.108536585,8906653,106959,2324687,76.054,0.9,31,26808.115,165.43619,849.36314,1662.64163,EASTERN EUROPE,22303552,237500,0.09,-0.13,26.43,7000,98.4,196.9,40.82,2.25,56.93,3,10.7,11.77,101,0.35,549,51.91
Russia,-6.74,1.94E-05,40.20669788,,,,72.584,0.77,25,32178.7376,19301.8375,138843.46,99143.2757,C.W. OF IND. STATES,142893540,17075200,0.22,1.02,15.39,8900,99.6,280.6,7.33,0.11,92.56,,9.95,14.65,54,371,575,23.96
Rwanda,19.04,9.48E-06,2.036585366,195461,60088,40725,69.024,3.85,290,40388.0201,2962.57588,6321.84616,22077.8457,SUB-SAHARAN AFRICA,8648248,26338,0,0,91.23,1300,70.4,2.7,40.54,12.16,47.3,3,40.37,16.09,401,229,0.37,166.41
Saint Lucia,,7.72E-05,0.307692308,42820,5920,42354,76.203,1.33,48,26558.264,7.82977856,8.77329923,9.5672962,LATIN AMER. & CARIB,168458,616,25.65,-2.67,13.53,5400,67,303.3,6.56,22.95,70.49,2,19.68,5.08,0.07,0.2,0.73,
San Marino,,0.0080681,1.457627119,,,,84.972,0.28,,,,,,WESTERN EUROPE,29251,61,0,10.98,5.73,34600,96,704.3,16.67,0,83.33,,10.02,8.17,,,,
Saudi Arabia,24.53,6.37E-05,13.00988372,26935292,7566017,6673147,75.133,1.29,12,24935.8619,525.802868,672.656011,660.622,NEAR EAST,27019731,1960582,0.13,-2.71,13.24,11800,78.8,140.6,1.67,0.09,98.24,1,29.34,2.58,33,613,354,16.32
